report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
200100574,19:30:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,11360,Margaret,F,53,Yes,Yes,146118,Luz,M,31,Yes,2,No,3260,Loletha,F,14,1
200100576,00:55:00,Phone,FALSE,3,371,West LA,244,5500,9,910,KIDNAPPING,308,STICK,AA,Adult Arrest,92985,Brian,M,1,Yes,Yes,2361245,Eve,M,41,Yes,2,No,2035,Rue,M,12,1
200100578,20:40:00,Email,FALSE,3,336,Van Nuys,250,4149,9,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,AA,Adult Arrest,10077,Kevin,M,51,Yes,Yes,1042149,Freddy,M,36,Yes,7,No,2035,Rue,M,12,1
200100583,09:20:00,Email,FALSE,3,371,West LA,244,5500,9,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,AA,Adult Arrest,122230,Jessica,F,32,Yes,Yes,549790,King,M,34,Yes,6,No,2035,Rue,M,12,1
200100584,16:45:00,Email,FALSE,7,1001,Hollywood,280,3200,8,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,99506,Sarah,F,41,Yes,Yes,1959059,Jerald,M,32,Yes,5,No,3256,Gracelin,F,11,1
200100587,11:35:00,Email,FALSE,3,371,West LA,244,5500,9,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,39467,Timothy,M,30,Yes,Yes,2337976,Ximena,M,41,Yes,1,No,1027,Jonavan,M,8,1
200100596,16:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,25253,Ronald,M,41,Yes,Yes,1064595,Maverick,M,31,Yes,3,No,3245,Arretta,F,12,1
200104020,02:45:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,350,"THEFT, PERSON",221,GLASS,IC,Invest Cont,110057,Betty,F,49,Yes,Yes,943136,Greta,M,41,Yes,3,No,3245,Arretta,F,12,1
200104024,03:25:00,Phone,FALSE,5,887,Newton,275,3409,12,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,118774,Lisa,F,30,Yes,Yes,587956,Glenna,M,40,Yes,1,No,4010,Neeka,F,13,1
200104027,00:30:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,39203,Nicholas,M,35,Yes,Yes,1164413,Heaven,M,39,Yes,4,No,3260,Loletha,F,14,1
200104033,02:30:00,Phone,FALSE,2,323,Northeast,255,4100,9,626,INTIMATE PARTNER - SIMPLE ASSA,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,98693,Ashley,F,56,Yes,Yes,104303,Eldon,M,30,Yes,2,No,1023,Everrett,M,12,1
200104035,02:30:00,In-Person,FALSE,5,893,Harbor,180,6500,10,310,BURGLARY,113,SIMULATED GUN,IC,Invest Cont,60169,Frank,M,58,Yes,Yes,965944,Kiana,M,34,Yes,3,No,4010,Neeka,F,13,1
200104036,05:00:00,Email,FALSE,5,893,Harbor,180,6500,10,860,BATTERY WITH SEXUAL CONTACT,201,KNIFE WITH BLADE OVER 6 INCHES,IC,Invest Cont,57832,Gary,M,47,Yes,Yes,1993796,Blanca,M,41,Yes,2,No,4010,Neeka,F,13,1
200104038,12:00:00,Phone,FALSE,6,990,Hollenbeck,170,6686,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,11665,Anna,F,33,Yes,Yes,1898115,Walker,M,37,Yes,7,No,1028,Keahi,M,14,1
200104039,03:44:00,Email,FALSE,5,887,Newton,275,3409,12,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,72731,Stephen,M,36,Yes,Yes,876357,Jonas,M,39,Yes,3,No,4010,Neeka,F,13,1
200104041,10:30:00,Email,FALSE,4,425,Rampart,165,8500,5,480,BIKE - STOLEN,504,DEMAND NOTE,IC,Invest Cont,66229,Jonathan,M,59,Yes,Yes,321126,Nannie,M,39,Yes,3,No,2036,Tasean,M,8,1
200104043,12:00:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,8355,Sandra,F,37,Yes,Yes,1050331,Jess,M,33,Yes,3,No,1028,Keahi,M,14,1
200104047,09:05:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,623,BATTERY POLICE (SIMPLE),215,MACHETE,IC,Invest Cont,41878,Emily,F,49,Yes,Yes,2326400,Marley,M,30,Yes,3,No,2035,Rue,M,12,1
200104048,09:05:00,Phone,FALSE,6,990,Hollenbeck,170,6686,5,623,BATTERY POLICE (SIMPLE),215,MACHETE,IC,Invest Cont,101910,Amanda,F,52,Yes,Yes,2169193,Quincy,M,36,Yes,3,No,3260,Loletha,F,14,1
200104051,02:00:00,Email,FALSE,5,893,Harbor,180,6500,10,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,60900,Kimberly,F,54,Yes,Yes,263333,Clarice,M,37,Yes,3,No,4010,Neeka,F,13,1
200104054,23:30:00,Email,FALSE,3,336,Van Nuys,250,4149,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,53198,Michelle,F,58,Yes,Yes,50908,Guadalupe,M,41,Yes,3,No,3245,Arretta,F,12,1
200104057,20:45:00,Phone,FALSE,3,371,West LA,244,5500,9,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,28661,Donna,F,30,Yes,Yes,1603337,Chasity,M,30,Yes,7,No,2035,Rue,M,12,1
200104058,19:40:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,123254,Justin,M,35,Yes,Yes,2388619,Leanna,M,35,Yes,5,No,3245,Arretta,F,12,1
200104060,18:00:00,Email,FALSE,3,371,West LA,244,5500,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,22448,Laura,F,31,Yes,Yes,1132284,Frieda,M,37,Yes,3,No,3245,Arretta,F,12,1
200104063,20:30:00,In-Person,FALSE,5,887,Newton,275,3409,12,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,104869,Ruth,F,52,Yes,Yes,4138,Emerson,M,35,Yes,3,No,4010,Neeka,F,13,1
200104065,18:30:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,44833,Carol,F,55,Yes,Yes,638454,Isla,M,35,Yes,3,No,1028,Keahi,M,14,1
200104066,23:15:00,Phone,FALSE,3,371,West LA,244,5500,9,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,88818,Brandon,M,31,Yes,Yes,2242269,Rogelio,M,41,Yes,3,No,3245,Arretta,F,12,1
200104069,05:45:00,Email,FALSE,4,425,Rampart,165,8500,5,310,BURGLARY,113,SIMULATED GUN,IC,Invest Cont,109135,Larry,M,47,Yes,Yes,2240257,Ryleigh,M,40,Yes,7,No,1033,Niki,M,14,1
200104073,03:45:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,510,VEHICLE - STOLEN,207,OTHER KNIFE,IC,Invest Cont,16377,Scott,M,47,Yes,Yes,1418237,Ramiro,M,32,Yes,3,No,1024,Izreal,M,9,1
200104075,20:00:00,Email,FALSE,2,322,Southwest,168,7800,8,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,6474,Melissa,F,54,Yes,Yes,1563525,Darwin,M,34,Yes,1,No,1023,Everrett,M,12,1
200104076,03:00:00,In-Person,FALSE,3,371,West LA,244,5500,9,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,14306,Benjamin,M,51,Yes,Yes,232115,Murray,M,36,Yes,5,No,2035,Rue,M,12,1
200104077,20:30:00,Phone,FALSE,5,893,Harbor,180,6500,10,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,84686,Raymond,M,51,Yes,Yes,1972269,Aniyah,M,36,Yes,5,No,4010,Neeka,F,13,1
200104078,08:20:00,Email,FALSE,3,371,West LA,244,5500,9,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,32405,Samuel,M,60,Yes,Yes,721490,Cary,M,32,Yes,1,No,3245,Arretta,F,12,1
200104082,12:25:00,Email,FALSE,3,371,West LA,244,5500,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,65657,Rebecca,F,41,Yes,Yes,2337097,Brynn,M,31,Yes,1,No,2035,Rue,M,12,1
200104090,13:05:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,44798,Deborah,F,2,Yes,Yes,1012919,Leann,M,40,Yes,7,No,2035,Rue,M,12,1
200104092,12:00:00,Phone,FALSE,5,893,Harbor,180,6500,10,310,BURGLARY,113,SIMULATED GUN,IC,Invest Cont,47506,Gregory,M,36,Yes,Yes,2219470,Maribel,M,30,Yes,3,No,5245,Scotlynn,F,9,1
200104098,12:40:00,Phone,FALSE,2,322,Southwest,168,7800,8,210,ROBBERY,515,PHYSICAL PRESENCE,AO,Adult Other,122012,Kathleen,F,56,Yes,Yes,837673,Edmond,M,35,Yes,3,No,1023,Everrett,M,12,1
200104101,08:00:00,In-Person,FALSE,4,425,Rampart,165,8500,5,626,INTIMATE PARTNER - SIMPLE ASSA,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,99286,Amy,F,59,Yes,Yes,1679292,Kenya,M,39,Yes,5,No,2036,Tasean,M,8,1
200104118,16:00:00,In-Person,FALSE,2,322,Southwest,168,7800,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,59000,Cynthia,F,53,Yes,Yes,138442,Bobbi,M,37,Yes,4,No,4011,Nyiesha,F,9,1
200104120,14:50:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,310,BURGLARY,113,SIMULATED GUN,IC,Invest Cont,82910,Alexander,M,46,Yes,Yes,1105892,Larissa,M,34,Yes,3,No,1028,Keahi,M,14,1
200104126,12:15:00,In-Person,FALSE,3,371,West LA,244,5500,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,21823,Patrick,M,32,Yes,Yes,805405,Jean,M,40,Yes,5,No,3245,Arretta,F,12,1
200104127,11:30:00,In-Person,FALSE,2,322,Southwest,168,7800,8,888,TRESPASSING,501,BOMB THREAT,IC,Invest Cont,68917,Jack,M,46,Yes,Yes,813814,Margo,M,37,Yes,3,No,1023,Everrett,M,12,1
200104129,03:20:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,72071,Henry,M,38,Yes,Yes,92783,Lizbeth,M,36,Yes,3,No,3260,Loletha,F,14,1
200104132,19:15:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,910,KIDNAPPING,308,STICK,IC,Invest Cont,24108,Shirley,F,1,Yes,Yes,1680438,Tiara,M,36,Yes,3,No,5555,Shaaron,F,13,1
200104135,20:00:00,Email,FALSE,6,990,Hollenbeck,170,6686,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,13098,Emma,F,47,Yes,Yes,646605,Gael,M,36,Yes,3,No,3260,Loletha,F,14,1
200104136,20:00:00,Email,FALSE,4,425,Rampart,165,8500,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,AA,Adult Arrest,62213,Catherine,F,41,Yes,Yes,828908,Marquis,M,39,Yes,3,No,2036,Tasean,M,8,1
200104138,17:40:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,19736,Virginia,F,42,Yes,Yes,1386803,Thaddeus,M,33,Yes,6,No,3260,Loletha,F,14,1
200104139,22:10:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,888,TRESPASSING,501,BOMB THREAT,IC,Invest Cont,83712,Nicole,F,39,Yes,Yes,1229723,Harley,M,39,Yes,3,No,3259,Kla,F,8,1
200104140,21:45:00,In-Person,FALSE,3,371,West LA,244,5500,9,626,INTIMATE PARTNER - SIMPLE ASSA,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,57381,Dennis,M,42,Yes,Yes,531960,Elaina,M,37,Yes,3,No,3245,Arretta,F,12,1
200104141,21:20:00,In-Person,FALSE,2,261,77th Street,150,8889,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,21135,Walter,M,38,Yes,Yes,2125016,Malia,M,41,Yes,3,No,4011,Nyiesha,F,9,1
200104150,22:00:00,In-Person,FALSE,4,425,Rampart,165,8500,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,52081,Tyler,M,49,Yes,Yes,457915,Bridgette,M,40,Yes,4,No,2036,Tasean,M,8,1
200104187,18:45:00,Email,FALSE,2,261,77th Street,150,8889,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,30525,Brenda,F,31,Yes,Yes,38650,Tamika,M,36,Yes,1,No,1023,Everrett,M,12,1
200104192,09:30:00,Phone,FALSE,2,323,Northeast,255,4100,9,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,109751,Aaron,M,58,Yes,Yes,1961452,Sidney,M,31,Yes,6,No,1023,Everrett,M,12,1
200104201,01:30:00,In-Person,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,15322,Christine,F,49,Yes,Yes,1846190,Matt,M,35,Yes,1,No,1029,Keysean,M,9,1
200104204,11:15:00,Email,FALSE,4,425,Rampart,165,8500,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,38258,Samantha,F,54,Yes,Yes,2219033,Ericka,M,33,Yes,3,No,3223,Anayely,F,11,1
200104205,13:15:00,Phone,FALSE,4,425,Rampart,165,8500,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,116254,Jacob,M,55,Yes,Yes,640353,Kali,M,37,Yes,3,No,2036,Tasean,M,8,1
200104208,10:15:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,AO,Adult Other,40696,Adam,M,31,Yes,Yes,1387114,Courtney,M,30,Yes,4,No,1029,Keysean,M,9,1
200104209,18:30:00,Phone,FALSE,3,371,West LA,244,5500,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,16339,Rachel,F,37,Yes,Yes,119201,Milo,M,31,Yes,1,No,3245,Arretta,F,12,1
200104221,12:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,12493,Pamela,F,2,Yes,Yes,1779438,Winnie,M,30,Yes,5,No,1029,Keysean,M,9,1
200104222,15:50:00,In-Person,FALSE,2,323,Northeast,255,4100,9,910,KIDNAPPING,308,STICK,AA,Adult Arrest,44912,Frances,F,1,Yes,Yes,759666,Rodrigo,M,30,Yes,7,No,1023,Everrett,M,12,1
200104223,18:39:00,Phone,FALSE,6,990,Hollenbeck,170,6686,5,910,KIDNAPPING,308,STICK,IC,Invest Cont,46854,Nathan,M,1,Yes,Yes,171480,Deana,M,34,Yes,3,No,3260,Loletha,F,14,1
200104224,18:00:00,In-Person,FALSE,3,371,West LA,244,5500,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,118474,Douglas,M,52,Yes,Yes,1890109,Lamont,M,37,Yes,3,No,3245,Arretta,F,12,1
200104227,18:00:00,In-Person,FALSE,4,425,Rampart,165,8500,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,76231,Heather,F,60,Yes,Yes,2289934,Payton,M,39,Yes,5,No,2036,Tasean,M,8,1
200104228,18:50:00,Phone,FALSE,3,371,West LA,244,5500,9,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,64689,Evelyn,F,33,Yes,Yes,964739,Rolando,M,35,Yes,4,No,3245,Arretta,F,12,1
200104230,21:00:00,Email,FALSE,7,1001,Hollywood,280,3200,8,420,THEFT FROM MOTOR VEHICLE - PET,506,FIRE,IC,Invest Cont,1016,Jose,M,58,Yes,Yes,821349,Emiliano,M,39,Yes,7,No,5555,Shaaron,F,13,1
200104231,22:20:00,In-Person,FALSE,6,990,Hollenbeck,170,6686,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,76733,Alice,F,54,Yes,Yes,164108,Skyler,M,35,Yes,3,No,3260,Loletha,F,14,1
200104233,16:45:00,Email,FALSE,3,336,Van Nuys,250,4149,9,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,1349,Janet,F,57,Yes,Yes,1930890,Cruz,M,30,Yes,3,No,3245,Arretta,F,12,1
200104234,21:00:00,Email,FALSE,2,322,Southwest,168,7800,8,910,KIDNAPPING,308,STICK,IC,Invest Cont,51642,Maria,F,1,Yes,Yes,1612648,Julissa,M,40,Yes,3,No,3258,Ismerai,F,14,1
200104235,22:00:00,Email,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,108234,Zachary,M,58,Yes,Yes,1537026,India,M,32,Yes,3,No,3245,Arretta,F,12,1
200104236,16:30:00,In-Person,FALSE,4,425,Rampart,165,8500,5,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,27087,Carolyn,F,59,Yes,Yes,354676,Isiah,M,35,Yes,7,No,3261,Lorian,F,10,1
200104237,05:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,48529,Debra,F,44,Yes,Yes,2242679,Anton,M,41,Yes,3,No,1029,Keysean,M,9,1
200104238,18:40:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,102996,Harold,M,42,Yes,Yes,2174152,Brantley,M,41,Yes,3,No,1029,Keysean,M,9,1
200104240,11:00:00,Phone,FALSE,3,371,West LA,244,5500,9,331,THEFT FROM MOTOR VEHICLE - GRA,312,PIPE/METAL PIPE,IC,Invest Cont,81850,Martha,F,56,Yes,Yes,1478058,Harlan,M,32,Yes,4,No,3245,Arretta,F,12,1
200104244,00:40:00,Email,FALSE,4,425,Rampart,165,8500,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,5879,Marie,F,52,Yes,Yes,1928662,James,M,30,Yes,7,No,2036,Tasean,M,8,1
200104256,16:00:00,Email,FALSE,4,425,Rampart,165,8500,5,910,KIDNAPPING,308,STICK,IC,Invest Cont,15449,Arthur,M,4,Yes,Yes,122804,Alanna,M,36,Yes,5,No,3261,Lorian,F,10,1
200104268,12:30:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,114646,Victoria,F,50,Yes,Yes,684073,Carmela,M,34,Yes,3,No,1029,Keysean,M,9,1
200104269,05:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,33977,Joyce,F,39,Yes,Yes,920146,Nola,M,30,Yes,3,No,3245,Arretta,F,12,1
200104270,16:30:00,Email,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,15599,Carl,M,30,Yes,Yes,2357909,Imani,M,39,Yes,3,No,3245,Arretta,F,12,1
200104275,12:38:00,Email,FALSE,3,336,Van Nuys,250,4149,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,29061,Kelly,F,4,Yes,Yes,62592,Ashlynn,M,41,Yes,3,No,3245,Arretta,F,12,1
200104276,21:30:00,Phone,FALSE,4,425,Rampart,165,8500,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,101499,Albert,M,54,Yes,Yes,1588810,Norah,M,35,Yes,3,No,3261,Lorian,F,10,1
200104277,21:30:00,In-Person,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,10131,Rose,F,49,Yes,Yes,153250,Keisha,M,40,Yes,4,No,1029,Keysean,M,9,1
