report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
200105784,19:00:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,11924,Scarlett,F,54,Yes,Yes,498394,Christen,F,35,Yes,2,No,5100,Rheda,F,12,4
200105785,17:10:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,5049,Flora,F,58,No,Yes,150838,Carlee,F,34,Yes,3,No,5100,Rheda,F,12,4
200105787,11:50:00,Phone,FALSE,4,425,Rampart,165,8500,5,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,55355,Sonya,F,37,Yes,Yes,1597659,Stevie,M,30,No,0,No,1033,Niki,M,14,4
200105788,19:45:00,Phone,FALSE,5,887,Newton,275,3409,12,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,81875,Jace,M,46,No,Yes,145248,Zella,F,33,No,0,No,4002,Lynnmarie,F,12,4
200105789,21:17:00,Phone,FALSE,3,371,West LA,244,5500,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,84869,Della,F,7,No,No,366318,Nikita,F,41,Yes,5,No,1026,Jermale,M,9,4
200105790,20:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,104626,Leonardo,M,41,Yes,Yes,1511530,Annalise,F,41,No,0,No,3251,Genever,F,11,4
200105791,12:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,480,BIKE - STOLEN,504,DEMAND NOTE,IC,Invest Cont,77168,Penelope,F,58,No,No,847676,Birdie,F,41,No,0,No,1026,Jermale,M,9,4
200105792,10:20:00,Phone,FALSE,1,223,West Valley,268,3950,8,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,100944,Lorenzo,M,44,No,Yes,2313905,Lizette,F,31,No,0,No,1111,Kaushik,M,8,4
200105793,12:10:00,In-Person,FALSE,1,223,West Valley,268,3950,8,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,52991,Genesis,F,50,Yes,Yes,1713009,Lulu,F,40,No,0,No,2039,Vikash,M,10,4
200105794,14:45:00,In-Person,FALSE,5,893,Harbor,180,6500,10,946,OTHER MISCELLANEOUS CRIME,204,FOLDING KNIFE,IC,Invest Cont,102597,Jonah,M,49,Yes,Yes,922485,Morton,M,36,Yes,2,No,4002,Lynnmarie,F,12,4
200105795,19:00:00,Phone,FALSE,5,887,Newton,275,3409,12,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,11631,Daryl,M,46,No,Yes,1306339,Roselyn,F,37,No,0,No,4002,Lynnmarie,F,12,4
200105796,14:55:00,Phone,FALSE,3,371,West LA,244,5500,9,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,37468,Lila,F,60,Yes,Yes,1146693,Lawanda,F,41,Yes,3,No,1026,Jermale,M,9,4
200105805,09:30:00,Phone,FALSE,3,371,West LA,244,5500,9,888,TRESPASSING,501,BOMB THREAT,IC,Invest Cont,50601,Kristopher,M,41,Yes,No,2116414,Hank,M,33,Yes,1,No,1026,Jermale,M,9,4
200105807,01:00:00,Phone,FALSE,1,223,West Valley,268,3950,8,626,INTIMATE PARTNER - SIMPLE ASSA,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,84326,Natalia,F,48,No,No,2282668,Janel,F,30,Yes,3,No,2039,Vikash,M,10,4
200105808,15:00:00,Phone,FALSE,1,223,West Valley,268,3950,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,7896,Malcolm,M,50,No,No,20294,Ronan,M,40,No,0,No,2039,Vikash,M,10,4
200105809,15:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,510,VEHICLE - STOLEN,207,OTHER KNIFE,IC,Invest Cont,44510,Gianna,F,41,Yes,Yes,1033794,Nasir,M,39,Yes,2,No,3251,Genever,F,11,4
200105812,18:10:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,664,"BUNCO, PETTY THEFT",103,RIFLE,IC,Invest Cont,97492,Inez,F,60,No,No,2003699,Celine,F,32,No,0,No,1026,Jermale,M,9,4
200105821,15:30:00,In-Person,FALSE,4,425,Rampart,165,8500,5,662,"BUNCO, GRAND THEFT",512,MACE/PEPPER SPRAY,IC,Invest Cont,60664,Skylar,F,57,No,Yes,1503268,Diann,F,32,No,0,No,3251,Genever,F,11,4
200105824,18:00:00,In-Person,FALSE,4,425,Rampart,165,8500,5,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,51036,Valeria,F,57,Yes,No,1132487,Knox,M,32,Yes,7,No,3251,Genever,F,11,4
200105825,08:25:00,Phone,FALSE,4,425,Rampart,165,8500,5,910,KIDNAPPING,308,STICK,IC,Invest Cont,28161,Marianne,F,7,Yes,No,1389273,Kailee,F,30,No,0,No,3251,Genever,F,11,4
200105826,10:00:00,Phone,FALSE,3,371,West LA,244,5500,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,76636,Damon,M,55,No,No,338206,Annemarie,F,37,No,0,No,1027,Jonavan,M,8,4
200105829,21:00:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,510,VEHICLE - STOLEN,207,OTHER KNIFE,IC,Invest Cont,101277,Lincoln,M,56,No,No,1339780,Kasey,M,36,No,0,No,3256,Gracelin,F,11,4
200105830,11:25:00,Phone,FALSE,1,223,West Valley,268,3950,8,236,INTIMATE PARTNER - AGGRAVATED,205,KITCHEN KNIFE,IC,Invest Cont,59467,Luther,M,42,Yes,No,758460,Wilhelmina,F,40,Yes,5,No,2039,Vikash,M,10,4
200105834,13:50:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,45541,Guadalupe,F,39,No,Yes,342670,Giovanna,F,39,Yes,5,No,5100,Rheda,F,12,4
200105837,18:05:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,47712,Fredrick,M,7,Yes,Yes,550927,Brodie,M,35,Yes,4,No,3256,Gracelin,F,11,4
200105838,06:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,14718,Jada,F,51,No,Yes,1026172,Mervin,M,33,No,0,No,7010,Syann,F,9,4
200105848,13:35:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,41918,Dillon,M,33,No,Yes,1982804,Tamia,F,41,No,0,No,3256,Gracelin,F,11,4
200105850,08:50:00,Phone,FALSE,5,887,Newton,275,3409,12,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,98709,Dallas,M,35,Yes,No,1723599,Georgie,F,34,Yes,1,No,4002,Lynnmarie,F,12,4
200105854,21:40:00,Phone,FALSE,4,425,Rampart,165,8500,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,92014,Alexis,M,35,Yes,Yes,622798,Cori,F,32,No,0,No,3250,Courtnei,F,14,4
200105857,18:17:00,Phone,FALSE,5,887,Newton,275,3409,12,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,120125,Geoffrey,M,55,No,No,147901,Anissa,F,32,No,0,No,4002,Lynnmarie,F,12,4
200105859,19:45:00,Phone,FALSE,5,893,Harbor,180,6500,10,910,KIDNAPPING,308,STICK,IC,Invest Cont,23005,Dave,M,7,No,Yes,1094828,Shayne,M,33,No,0,No,2040,Yassir,M,13,4
200105861,12:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,9255,Dominick,M,33,No,Yes,1687228,Vince,M,31,No,0,No,1033,Niki,M,14,4
200105862,00:30:00,Phone,FALSE,5,887,Newton,275,3409,12,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,81399,Bryson,M,54,Yes,No,1796898,Matias,M,40,No,0,No,4002,Lynnmarie,F,12,4
200105863,20:20:00,Phone,FALSE,3,371,West LA,244,5500,9,350,"THEFT, PERSON",221,GLASS,IC,Invest Cont,101290,Angie,F,39,No,Yes,2283848,Clair,M,34,No,0,No,1027,Jonavan,M,8,4
200105864,23:55:00,In-Person,FALSE,5,887,Newton,275,3409,12,625,OTHER ASSAULT,104,SHOTGUN,IC,Invest Cont,64277,Lynne,F,46,No,No,1158423,Damaris,F,33,Yes,3,No,4002,Lynnmarie,F,12,4
200105865,16:30:00,Phone,FALSE,5,887,Newton,275,3409,12,350,"THEFT, PERSON",221,GLASS,AA,Adult Arrest,89775,Lee,F,7,Yes,Yes,1313306,Breanne,F,31,No,0,No,2040,Yassir,M,13,4
200105866,21:30:00,Phone,FALSE,3,371,West LA,244,5500,9,745,VANDALISM - MISDEAMEANOR ($399,306,ROCK/THROWN OBJECT,IC,Invest Cont,84659,Kari,F,39,No,No,1714776,Erich,M,40,No,0,No,1027,Jonavan,M,8,4
200105869,16:30:00,In-Person,FALSE,4,425,Rampart,165,8500,5,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,IC,Invest Cont,19742,Bella,F,41,No,Yes,1406457,Christin,F,41,Yes,1,No,1033,Niki,M,14,4
200105870,10:00:00,In-Person,FALSE,4,425,Rampart,165,8500,5,910,KIDNAPPING,308,STICK,IC,Invest Cont,32556,Cristian,M,7,Yes,No,2000672,Shelton,M,41,No,0,No,3250,Courtnei,F,14,4
200105871,04:15:00,Phone,FALSE,5,887,Newton,275,3409,12,440,THEFT PLAIN - PETTY ($950 & UN,102,HAND GUN,AA,Adult Arrest,30646,Maryann,F,52,Yes,Yes,976699,Maranda,F,39,No,0,No,5245,Scotlynn,F,9,4
200105872,18:30:00,In-Person,FALSE,5,887,Newton,275,3409,12,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,100974,Gayle,F,33,No,No,416218,Luciano,M,37,No,0,No,4003,Melah,F,10,4
200105878,16:00:00,Phone,FALSE,5,893,Harbor,180,6500,10,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,94269,Tabitha,F,49,Yes,Yes,508054,Marquita,F,30,Yes,5,No,4003,Melah,F,10,4
200105880,21:00:00,Phone,FALSE,5,893,Harbor,180,6500,10,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,19003,Sheri,F,52,No,Yes,1232628,Ciera,F,30,No,0,No,4003,Melah,F,10,4
200105882,23:00:00,Phone,FALSE,5,893,Harbor,180,6500,10,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,43501,Patty,F,58,No,Yes,2186816,Dayana,F,34,Yes,3,No,2040,Yassir,M,13,4
200105884,16:05:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,64452,Olga,F,42,Yes,No,838992,Skyla,F,36,No,0,No,3256,Gracelin,F,11,4
200105885,21:07:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,956,"LETTERS, LEWD  -  TELEPHONE CA",206,SWITCH BLADE,IC,Invest Cont,11559,Rickey,M,51,No,Yes,572976,Reggie,M,41,Yes,1,No,3256,Gracelin,F,11,4
200105891,14:00:00,Phone,FALSE,5,887,Newton,275,3409,12,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,67785,Israel,M,52,No,No,2070981,Jolie,F,39,No,0,No,4003,Melah,F,10,4
200105898,10:05:00,Phone,FALSE,4,425,Rampart,165,8500,5,888,TRESPASSING,501,BOMB THREAT,IC,Invest Cont,48887,Alisha,F,33,No,No,142489,Finley,M,39,No,0,No,3250,Courtnei,F,14,4
200105903,09:00:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,75837,Santiago,M,49,No,Yes,996438,Dudley,M,40,Yes,3,No,5100,Rheda,F,12,4
200105905,08:10:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,761,BRANDISH WEAPON,307,VEHICLE,IC,Invest Cont,64366,Tracy,M,42,Yes,No,536970,Ashanti,F,37,Yes,2,No,3256,Gracelin,F,11,4
200105906,10:45:00,In-Person,FALSE,3,371,West LA,244,5500,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,35316,Julio,M,7,No,Yes,662430,Deangelo,M,36,Yes,1,No,1027,Jonavan,M,8,4
200105907,16:45:00,In-Person,FALSE,5,893,Harbor,180,6500,10,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,55625,Kaden,M,58,No,Yes,2012893,Kennedi,F,41,No,0,No,4003,Melah,F,10,4
200105909,12:00:00,Phone,FALSE,5,887,Newton,275,3409,12,341,THEFT-GRAND ($950.01 & OVER)EX,208,RAZOR,IC,Invest Cont,82835,Abby,F,56,No,No,210484,Leta,F,32,No,0,No,5245,Scotlynn,F,9,4
200105910,20:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,99074,Alana,F,56,No,Yes,1718090,Miley,F,32,No,0,No,1033,Niki,M,14,4
200105911,15:30:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,16258,Daniela,F,36,No,Yes,1196891,Abbigail,F,35,No,0,No,1027,Jonavan,M,8,4
200105912,20:30:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,76177,Kaitlin,F,54,Yes,No,2222988,Iona,F,30,Yes,6,No,1027,Jonavan,M,8,4
200105913,16:30:00,In-Person,FALSE,4,425,Rampart,165,8500,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,57291,Myra,F,47,Yes,Yes,1939081,Roxana,F,36,Yes,1,No,1033,Niki,M,14,4
200105914,13:45:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,112457,Roxanne,F,46,Yes,No,2005025,Annamarie,F,41,Yes,1,No,1027,Jonavan,M,8,4
200105920,13:20:00,In-Person,FALSE,3,371,West LA,244,5500,9,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,116760,Caden,M,46,Yes,No,658563,Layne,M,39,No,0,No,1027,Jonavan,M,8,4
200105922,16:00:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,29336,Annabelle,F,51,No,No,1158101,Maudie,F,34,Yes,6,No,3256,Gracelin,F,11,4
200105924,10:20:00,In-Person,FALSE,5,893,Harbor,180,6500,10,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,5591,Karina,F,32,No,No,163208,Veda,F,30,No,0,No,2040,Yassir,M,13,4
200105925,18:00:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,22829,Donnie,M,58,Yes,No,1430737,Davion,M,35,Yes,7,No,3256,Gracelin,F,11,4
200105926,22:10:00,Phone,FALSE,5,887,Newton,275,3409,12,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,33547,Kendall,F,47,No,No,430787,Twila,F,41,No,0,No,4003,Melah,F,10,4
200105930,02:10:00,Phone,FALSE,5,893,Harbor,180,6500,10,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,62263,Homer,M,59,Yes,Yes,222328,Kaylyn,F,40,Yes,1,No,2040,Yassir,M,13,4
200105931,00:10:00,In-Person,FALSE,4,425,Rampart,165,8500,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,67532,Lyle,M,36,No,No,1150856,Dahlia,F,33,No,0,No,1033,Niki,M,14,4
200105935,06:00:00,Phone,FALSE,5,893,Harbor,180,6500,10,420,THEFT FROM MOTOR VEHICLE - PET,506,FIRE,IC,Invest Cont,75608,Mallory,F,53,Yes,No,1784352,Angelita,F,40,Yes,4,No,4003,Melah,F,10,4
200105938,10:55:00,Phone,FALSE,4,425,Rampart,165,8500,5,956,"LETTERS, LEWD  -  TELEPHONE CA",206,SWITCH BLADE,IC,Invest Cont,34296,Callie,F,53,No,No,1728447,Jadyn,F,37,No,0,No,3250,Courtnei,F,14,4
200105943,07:30:00,Phone,FALSE,5,887,Newton,275,3409,12,236,INTIMATE PARTNER - AGGRAVATED,205,KITCHEN KNIFE,AA,Adult Arrest,9730,Josie,F,41,No,No,885148,Korey,M,36,No,0,No,2040,Yassir,M,13,4
200105945,17:25:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,903,CONTEMPT OF COURT,107,OTHER FIREARM,IC,Invest Cont,102291,Celeste,F,30,Yes,Yes,1331712,Foster,M,34,Yes,2,No,3256,Gracelin,F,11,4
200105946,07:20:00,Phone,FALSE,5,887,Newton,275,3409,12,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,106149,Mckenzie,F,49,Yes,No,688477,Letitia,F,40,Yes,1,No,4003,Melah,F,10,4
200105947,17:30:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,510,VEHICLE - STOLEN,207,OTHER KNIFE,IC,Invest Cont,34084,Adeline,F,30,No,Yes,495657,Jamari,M,35,No,0,No,1027,Jonavan,M,8,4
200105954,07:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,510,VEHICLE - STOLEN,207,OTHER KNIFE,IC,Invest Cont,24118,Aurora,F,54,No,Yes,534189,Chana,F,37,No,0,No,1027,Jonavan,M,8,4
200105960,13:46:00,In-Person,FALSE,5,887,Newton,275,3409,12,900,VIOLATION OF COURT ORDER,223,UNKNOWN TYPE CUTTING INSTRUMEN,IC,Invest Cont,106521,Rex,M,39,No,Yes,1282796,Earle,M,35,Yes,2,No,2040,Yassir,M,13,4
200105962,16:47:00,In-Person,FALSE,5,887,Newton,275,3409,12,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,96379,Enrique,M,53,No,No,1405170,Adelina,F,30,Yes,1,No,2040,Yassir,M,13,4
200105963,12:00:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,649,DOCUMENT FORGERY / STOLEN FELO,311,HAMMER,IC,Invest Cont,63711,Otis,M,33,Yes,Yes,2375333,Shea,F,41,No,0,No,1027,Jonavan,M,8,4
200105968,23:50:00,Phone,FALSE,5,893,Harbor,180,6500,10,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,22327,Lilly,F,53,No,No,346346,Vern,M,41,Yes,2,No,2040,Yassir,M,13,4
200105971,13:00:00,Phone,FALSE,2,323,Northeast,255,4100,9,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",AA,Adult Arrest,36357,Gage,M,57,Yes,Yes,753504,Cherry,F,35,Yes,1,No,3247,Christon,F,14,4
200105972,12:15:00,In-Person,FALSE,5,893,Harbor,180,6500,10,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,104917,Jody,F,42,No,No,109776,Lesa,F,30,Yes,1,No,5245,Scotlynn,F,9,4
200105973,12:15:00,Phone,FALSE,5,893,Harbor,180,6500,10,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,33913,Earnest,M,39,No,No,2010781,Aylin,F,30,Yes,4,No,2040,Yassir,M,13,4
200105974,11:00:00,Phone,FALSE,3,371,West LA,244,5500,9,510,VEHICLE - STOLEN,207,OTHER KNIFE,AA,Adult Arrest,121201,Donovan,M,48,Yes,No,206410,Trace,M,37,Yes,6,No,1027,Jonavan,M,8,4
200105975,23:30:00,Phone,FALSE,3,371,West LA,244,5500,9,910,KIDNAPPING,308,STICK,IC,Invest Cont,71785,Janelle,F,7,Yes,No,1397597,Valencia,F,41,Yes,3,No,1027,Jonavan,M,8,4
200105976,10:36:00,Phone,FALSE,4,425,Rampart,165,8500,5,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,24165,Serenity,F,44,Yes,Yes,1315368,Danika,F,32,No,0,No,1033,Niki,M,14,4
200105977,09:25:00,In-Person,FALSE,4,425,Rampart,165,8500,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,70350,Trenton,M,30,Yes,No,2255558,Alfreda,F,34,Yes,5,No,1033,Niki,M,14,4
200105980,20:40:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,946,OTHER MISCELLANEOUS CRIME,204,FOLDING KNIFE,IC,Invest Cont,70367,Aimee,F,60,No,Yes,236910,Cleo,M,37,Yes,5,No,1027,Jonavan,M,8,4
200105981,15:00:00,Phone,FALSE,3,371,West LA,244,5500,9,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,54651,Kirsten,F,32,No,No,1749,Cornell,M,37,Yes,4,No,1027,Jonavan,M,8,4
200105989,21:30:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,107248,Asher,M,31,Yes,Yes,1159402,Dessie,F,35,No,0,No,3256,Gracelin,F,11,4
200105990,23:30:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,330,BURGLARY FROM VEHICLE,302,BLUNT INSTRUMENT,IC,Invest Cont,123670,Hubert,M,32,Yes,Yes,789428,Tayler,F,35,Yes,4,No,3256,Gracelin,F,11,4
200105991,04:00:00,Phone,FALSE,3,371,West LA,244,5500,9,210,ROBBERY,515,PHYSICAL PRESENCE,IC,Invest Cont,9870,Dianna,F,50,Yes,Yes,592839,Jamel,M,32,No,0,No,1027,Jonavan,M,8,4
200105992,02:50:00,Phone,FALSE,3,371,West LA,244,5500,9,740,VANDALISM - FELONY ($400 & OVE,200,KNIFE WITH BLADE 6INCHES OR LE,IC,Invest Cont,50473,Avery,M,42,No,No,1296311,Marlena,F,32,No,0,No,1027,Jonavan,M,8,4
200105993,22:45:00,Phone,FALSE,5,893,Harbor,180,6500,10,901,VIOLATION OF RESTRAINING ORDER,101,REVOLVER,IC,Invest Cont,20878,Cecelia,F,46,No,No,2370478,Claudine,F,39,Yes,5,No,2040,Yassir,M,13,4
200105997,16:30:00,Phone,FALSE,5,893,Harbor,180,6500,10,910,KIDNAPPING,308,STICK,IC,Invest Cont,16239,Mya,F,7,No,Yes,875698,Joe,F,33,No,0,No,2040,Yassir,M,13,4
200105998,01:40:00,Phone,FALSE,5,893,Harbor,180,6500,10,668,"EMBEZZLEMENT, GRAND THEFT ($95",310,CONCRETE BLOCK/BRICK,IC,Invest Cont,81325,Emmett,M,56,No,Yes,2293249,Breana,F,34,No,0,No,4003,Melah,F,10,4
